Data,Descrição,Tipo,Valor (R$)
2025-01-01,Transferência,Crédito,1438.67
2025-01-02,Saque,Crédito,2276.99
2025-01-03,Pix Recebido,Débito,1862.71
2025-01-04,Saque,Débito,1042.64
2025-01-05,Pagamento,Crédito,211.43
2025-01-06,Pix Recebido,Débito,1939.39
2025-01-07,Saque,Crédito,2880.95
2025-01-08,Saque,Crédito,1993.09
2025-01-09,Pagamento,Débito,1941.67
2025-01-10,Saque,Crédito,2986.37
2025-01-11,Pagamento,Débito,1787.37
2025-01-12,Saque,Débito,1301.67
2025-01-13,Pix Recebido,Débito,1476.62
2025-01-14,Pagamento,Débito,1908.18
2025-01-15,Pix Recebido,Débito,1080.22
2025-01-16,Pix Recebido,Débito,2056.78
2025-01-17,Pix Recebido,Crédito,1019.89
2025-01-18,Transferência,Débito,2357.2
2025-01-19,Transferência,Débito,2853.76
2025-01-20,Pagamento,Crédito,2021.33
2025-01-21,Transferência,Crédito,1765.48
2025-01-22,Saque,Débito,1324.90
2025-01-23,Pix Recebido,Crédito,2480.75
2025-01-24,Pagamento,Débito,1198.64
2025-01-25,Transferência,Débito,2099.12
2025-01-26,Saque,Crédito,1853.30
2025-01-27,Pagamento,Crédito,1421.87
2025-01-28,Pix Recebido,Débito,1589.46
2025-01-29,Pagamento,Débito,1667.20
2025-01-30,Saque,Crédito,2720.59
2025-01-31,Transferência,Crédito,1950.88
